tick,time,steerCmd,brakeCmd,throttleCmd,distance1,distance2
1819,22:25:06:397,0.0,0.0,0.0,72.63721705199548,30.67072410279699
1820,22:25:06:414,0.0,0.0,0.0,72.63721705199548,30.67072410279699
1821,22:25:06:428,0.0,0.0,0.0,72.63721705199548,30.67072410279699
1822,22:25:06:446,0.0,0.0,0.0,72.63721705199548,30.67072410279699
1823,22:25:06:462,0.0,0.0,0.0,72.63721705199548,30.67072410279699
1824,22:25:06:475,0.0,0.0,0.0,72.63721705199548,30.67072410279699
1825,22:25:06:493,0.0,0.0,0.0,72.63721705199548,30.67072410279699
1826,22:25:06:512,0.0,0.0,0.0,72.63721705199548,30.95373968413302
1827,22:25:06:565,0.0,0.0,0.0,69.01439724988369,28.158380246101483
1828,22:25:06:569,0.0,0.0,0.0,68.43365225511594,27.763731134792764
1829,22:25:06:586,0.0,0.0,0.0,68.43365225511594,27.763731134792764
1830,22:25:06:603,0.0,0.0,0.0,68.43365225511594,27.763731134792764
1831,22:25:06:617,22.500000335276127,0.0,1.0,67.54977860977266,27.16583548581611
1832,22:25:06:634,22.500000335276127,0.0,1.0,67.54977860977266,27.16583548581611
1833,22:25:06:651,22.500000335276127,0.0,1.0,67.54977860977266,27.16583548581611
1834,22:25:06:786,0.0,0.0,1.0,65.5778876414376,25.84274920668358
1835,22:25:06:790,0.0,0.0,1.0,63.61488013363226,24.537255612887773
1836,22:25:06:807,0.0,0.0,1.0,63.61488013363226,24.537255612887773
1837,22:25:06:824,0.0,0.0,1.0,63.08814509375695,24.188490827588165
1838,22:25:06:923,0.0,0.0,1.0,61.604266243148686,23.20482147977791
1839,22:25:06:927,0.0,0.0,1.0,60.69630949201553,22.599827065418836
1840,22:25:06:945,0.0,0.0,1.0,60.69630949201553,22.599827065418836
1841,22:25:06:960,0.0,0.0,1.0,60.69630949201553,22.599827065418836
1842,22:25:06:976,0.0,0.0,1.0,60.69630949201553,22.599827065418836
1843,22:25:06:993,0.0,0.0,1.0,60.69630949201553,22.599827065418836
1844,22:25:07:008,0.0,0.0,1.0,60.69630949201553,22.599827065418836
1845,22:25:07:025,0.0,0.0,1.0,60.69630949201553,22.599827065418836
1846,22:25:07:039,0.0,0.0,1.0,60.69630949201553,22.599827065418836
1847,22:25:07:056,0.0,0.0,1.0,60.69630949201553,22.599827065418836
1848,22:25:07:109,0.0,0.0,1.0,57.2466137841303,20.271996021121996
1849,22:25:07:113,0.0,0.0,1.0,56.7451174125423,19.92911858667834
1850,22:25:07:131,0.0,0.0,1.0,56.7451174125423,19.92911858667834
1851,22:25:07:148,0.0,0.0,1.0,56.7451174125423,19.92911858667834
1852,22:25:07:162,0.0,0.0,1.0,55.79008928603344,19.272895470631937
1853,22:25:07:180,0.0,0.0,1.0,55.79008928603344,19.272895470631937
1854,22:25:07:196,0.0,0.0,1.0,55.79008928603344,19.272895470631937
1855,22:25:07:332,0.0,0.0,1.0,53.86654643524496,17.951255994215288
1856,22:25:07:337,0.0,0.0,1.0,51.97098865524278,16.65831711575582
1857,22:25:07:355,0.0,0.0,1.0,51.97098865524278,16.65831711575582
1858,22:25:07:370,0.0,0.0,1.0,51.445169416125104,16.301448803223536
1859,22:25:07:469,0.0,0.0,1.0,49.984580400558784,15.318628220695366
1860,22:25:07:473,0.0,0.0,1.0,49.01162931649758,14.672666266418537
1861,22:25:07:491,0.0,0.0,1.0,49.01162931649758,14.672666266418537
1862,22:25:07:507,0.0,0.0,1.0,49.01162931649758,14.672666266418537
1863,22:25:07:522,0.0,0.0,1.0,49.01162931649758,14.672666266418537
1864,22:25:07:539,0.0,0.0,1.0,49.01162931649758,14.672666266418537
1865,22:25:07:556,0.0,0.0,1.0,49.01162931649758,14.672666266418537
1866,22:25:07:569,0.0,0.0,1.0,49.01162931649758,14.672666266418537
1867,22:25:07:586,0.0,0.0,1.0,49.01162931649758,14.672666266418537
1868,22:25:07:603,0.0,0.0,1.0,49.01162931649758,14.672666266418537
1869,22:25:07:658,0.0,0.0,0.0,45.4562013275431,12.401622377448039
1870,22:25:07:662,0.0,0.0,0.0,44.880759912883796,12.052470314721912
1871,22:25:07:679,0.0,0.0,0.0,44.880759912883796,12.052470314721912
1872,22:25:07:696,0.0,0.0,0.0,44.880759912883796,12.052470314721912
1873,22:25:07:710,0.0,0.0,0.0,43.94803855156039,11.49861820757144
1874,22:25:07:727,0.0,0.0,0.0,43.94803855156039,11.49861820757144
1875,22:25:07:744,0.0,0.0,0.0,43.94803855156039,11.49861820757144
1876,22:25:07:880,0.0,0.0,0.0,41.94607661519352,10.371089650055577
1877,22:25:07:885,0.0,0.0,0.0,39.93523259627433,9.345025146949812
1878,22:25:07:904,0.0,0.0,0.0,39.93523259627433,9.345025146949812
1879,22:25:07:919,22.500000335276127,0.0,0.0,39.380547949527454,9.08472920402005
1880,22:25:07:935,22.500000335276127,0.0,0.0,39.380547949527454,9.08472920402005
1881,22:25:08:018,0.0,0.0,0.0,37.938952202158546,8.462438573988507
1882,22:25:08:021,0.0,0.0,0.0,36.91324841002339,8.073011615913629
1883,22:25:08:039,0.0,0.0,0.0,36.91324841002339,8.073011615913629
1884,22:25:08:055,0.0,0.0,0.0,36.91324841002339,8.073011615913629
1885,22:25:08:071,0.0,0.0,0.0,36.91324841002339,8.073011615913629
1886,22:25:08:088,0.0,0.0,0.0,36.91324841002339,8.073011615913629
1887,22:25:08:103,0.0,0.0,0.0,36.91324841002339,8.073011615913629
1888,22:25:08:118,0.0,0.0,0.0,36.91324841002339,8.073011615913629
1889,22:25:08:135,0.0,0.0,0.0,36.91324841002339,8.073011615913629
1890,22:25:08:151,0.0,0.0,0.0,36.91324841002339,8.073011615913629
1891,22:25:08:208,0.0,0.0,0.0,33.436603268330366,7.205684898347483
1892,22:25:08:211,0.0,0.0,0.0,32.80019430750149,7.1323828882346705
1893,22:25:08:229,0.0,0.0,0.0,32.80019430750149,7.1323828882346705
1894,22:25:08:246,0.0,0.0,0.0,32.80019430750149,7.1323828882346705
1895,22:25:08:260,0.0,0.0,0.0,31.920009688402402,7.080160050570871
1896,22:25:08:277,0.0,0.0,0.0,31.920009688402402,7.080160050570871
1897,22:25:08:430,0.0,0.0,0.0,30.028955866508706,7.177026535405651
1898,22:25:08:435,0.0,0.0,0.0,28.10778777984674,7.5547661341120484
1899,22:25:08:451,0.0,0.0,0.0,28.10778777984674,7.5547661341120484
1900,22:25:08:467,0.0,0.0,1.0,27.5513347121367,7.713979920279615
1901,22:25:08:481,0.0,0.0,1.0,27.5513347121367,7.713979920279615
1902,22:25:08:565,0.0,0.0,1.0,26.24597276844649,8.17159852454697
1903,22:25:08:570,0.0,0.0,1.0,25.363696566257097,8.542702831225643
1904,22:25:08:588,0.0,0.0,1.0,25.363696566257097,8.542702831225643
1905,22:25:08:604,0.0,0.0,1.0,25.363696566257097,8.542702831225643
1906,22:25:08:620,0.0,0.0,1.0,25.363696566257097,8.542702831225643
1907,22:25:08:636,0.0,0.0,1.0,25.363696566257097,8.542702831225643
1908,22:25:08:652,0.0,0.0,1.0,25.363696566257097,8.542702831225643
1909,22:25:08:667,0.0,0.0,1.0,25.363696566257097,8.542702831225643
1910,22:25:08:683,0.0,0.0,1.0,25.363696566257097,8.542702831225643
1911,22:25:08:699,0.0,0.0,1.0,25.363696566257097,8.542702831225643
1912,22:25:08:777,0.0,0.0,1.0,21.831163926109713,10.398434601254507
1913,22:25:08:782,0.0,0.0,1.0,21.439958366904026,10.635703782690904
1914,22:25:08:798,0.0,0.0,1.0,21.439958366904026,10.635703782690904
1915,22:25:08:816,0.0,0.0,1.0,21.439958366904026,10.635703782690904
1916,22:25:08:829,22.500000335276127,0.0,1.0,20.6768474848763,11.110384522762866
1917,22:25:08:850,22.500000335276127,0.0,1.0,20.6768474848763,11.110384522762866
1918,22:25:08:998,22.500000335276127,0.0,1.0,18.97446064478203,12.208097362708502
1919,22:25:09:003,22.500000335276127,0.0,1.0,17.24544638795951,13.371805408702729
1920,22:25:09:021,22.500000335276127,0.0,1.0,17.24544638795951,13.371805408702729
1921,22:25:09:037,0.0,0.0,1.0,16.787777146642032,13.686872481993602
1922,22:25:09:053,0.0,0.0,1.0,16.787777146642032,13.686872481993602
1923,22:25:09:136,0.0,0.0,1.0,15.510164261489939,14.578748487727774
1924,22:25:09:140,0.0,0.0,1.0,14.729517073963446,15.132436728529301
1925,22:25:09:158,0.0,0.0,1.0,14.729517073963446,15.132436728529301
1926,22:25:09:173,0.0,0.0,1.0,14.729517073963446,15.132436728529301
1927,22:25:09:189,0.0,0.0,1.0,14.729517073963446,15.132436728529301
1928,22:25:09:205,0.0,0.0,1.0,14.729517073963446,15.132436728529301
1929,22:25:09:221,0.0,0.0,1.0,14.729517073963446,15.132436728529301
1930,22:25:09:237,0.0,0.0,1.0,14.729517073963446,15.132436728529301
1931,22:25:09:252,0.0,0.0,1.0,14.729517073963446,15.132436728529301
1932,22:25:09:271,0.0,0.0,1.0,14.729517073963446,15.132436728529301
1933,22:25:09:323,0.0,0.0,1.0,11.909378312760385,17.216952162385272
1934,22:25:09:327,0.0,0.0,1.0,11.492078966037294,17.5425404709703
1935,22:25:09:345,0.0,0.0,1.0,11.492078966037294,17.5425404709703
1936,22:25:09:360,0.0,0.0,1.0,11.492078966037294,17.5425404709703
1937,22:25:09:377,0.0,0.0,1.0,10.73735570391805,18.150236336272588
1938,22:25:09:392,0.0,0.0,1.0,10.73735570391805,18.150236336272588
1939,22:25:09:411,0.0,0.0,1.0,10.73735570391805,18.150236336272588
1940,22:25:09:550,0.0,0.0,1.0,9.40127597972528,19.323689152742155
1941,22:25:09:555,0.0,0.0,1.0,8.25506545799859,20.537797793480113
1942,22:25:09:569,0.0,0.0,1.0,8.25506545799859,20.537797793480113
1943,22:25:09:587,0.0,0.0,1.0,8.011018169594724,20.85212457939549
1944,22:25:09:687,0.0,0.0,1.0,7.447436675595336,21.784131139935646
1945,22:25:09:691,0.0,0.0,1.0,7.219763016559069,22.41949516377364
1946,22:25:09:708,0.0,0.0,1.0,7.219763016559069,22.41949516377364
1947,22:25:09:724,0.0,0.0,1.0,7.219763016559069,22.41949516377364
1948,22:25:09:740,0.0,0.0,1.0,7.219763016559069,22.41949516377364
1949,22:25:09:756,0.0,0.0,1.0,7.219763016559069,22.41949516377364
1950,22:25:09:771,0.0,0.0,1.0,7.219763016559069,22.41949516377364
1951,22:25:09:789,0.0,0.0,1.0,7.219763016559069,22.41949516377364
1952,22:25:09:804,0.0,0.0,1.0,7.219763016559069,22.41949516377364
1953,22:25:09:820,0.0,0.0,1.0,7.219763016559069,22.41949516377364
1954,22:25:09:882,0.0,0.0,0.0,7.598737143034257,24.82825226893377
1955,22:25:09:887,0.0,0.0,0.0,7.83682347903313,25.239892336461153
1956,22:25:09:906,0.0,0.0,0.0,7.83682347903313,25.239892336461153
1957,22:25:09:920,0.0,0.0,0.0,7.83682347903313,25.239892336461153
1958,22:25:09:934,0.0,0.0,0.0,8.218490372739918,25.79664152622057
1959,22:25:09:954,0.0,0.0,0.0,8.218490372739918,25.79664152622057
1960,22:25:10:101,0.0,0.0,0.0,9.414718331840799,27.213533222178306
1961,22:25:10:106,0.0,0.0,0.0,10.872606921981705,28.689816837794336
1962,22:25:10:123,0.0,0.0,0.0,10.872606921981705,28.689816837794336
1963,22:25:10:139,0.0,0.0,0.0,11.317135383965732,29.11545274571385
1964,22:25:10:153,0.0,0.0,0.0,11.317135383965732,29.11545274571385
1965,22:25:10:239,0.0,0.0,0.0,12.504935120910542,30.216736099023205
1966,22:25:10:244,0.0,0.0,0.0,13.367956780132975,30.994531544237436
1967,22:25:10:260,0.0,0.0,0.0,13.367956780132975,30.994531544237436
1968,22:25:10:276,0.0,0.0,0.0,13.367956780132975,30.994531544237436
1969,22:25:10:290,0.0,0.0,0.0,13.367956780132975,30.994531544237436
1970,22:25:10:308,0.0,0.0,0.0,13.367956780132975,30.994531544237436
1971,22:25:10:324,0.0,0.0,0.0,13.367956780132975,30.994531544237436
